SHIP_ID,SHIPNAME,LENGTH,SHIPTYPE,WIDTH,FLAG,ship_type,LAT,LON,SPEED,COURSE,HEADING,DESTINATION,DWT,DATETIME,PORT,date,week_nb,port,is_parked,fromLAT,fromLON,fromTIME,DIST,delta_tau,lastLAT,lastLON
1960,PALLAS GLORY,92,8,14,MT,Tanker,57.602,11.6626,93,169,170,HANSTHOLM,3476,2016-12-16T23:21:05Z,gothenborg,2016-12-16,51,gothenborg,0,57.60793,11.66055,2016-12-16T23:19:05Z,671.703,120,57.602,11.6626
2006,KONYA,199,7,32,MT,Cargo,55.71939,21.10948,0,216,314,"KLAIPEDA,LITHUANIA",63200,2016-12-20T11:11:06Z,klaipeda,2016-12-20,51,Klaipeda,1,55.71943,21.10947,2016-12-20T10:59:06Z,4.498,720,55.71939,21.10948
2764,KAROLI,100,7,14,MT,Cargo,54.44456,18.65324,1,15,277,GDANSK,5727,2016-12-20T11:11:02Z,gdansk,2016-12-20,51,Gdańsk,1,54.44451,18.65316,2016-12-20T11:09:02Z,7.61,120,54.44456,18.65324
2929,POLA MUROM,180,7,30,MT,Cargo,59.92054,30.00686,84,292,291,GHENT,37667,2016-12-13T22:43:04Z,st_petersburg,2016-12-13,50,St. Petersburg,0,59.92054,30.00686,2016-12-13T22:43:03Z,0,1,59.92054,30.00686
2934,POLA UGLICH,180,7,30,MT,Cargo,59.91423,30.24157,0,220,86,SAINT-PETERSBURG,37666,2016-12-20T11:11:04Z,st_petersburg,2016-12-20,51,St. Petersburg,1,59.91423,30.24157,2016-12-20T11:11:03Z,0,1,59.91423,30.24157
2962,BOA BISON,91,3,22,NO,Tug,54.52402,18.55471,0,334,511,GDYNIA,3863,2016-12-20T10:59:07Z,gdynia,2016-12-20,51,Gdynia,1,54.52403,18.55469,2016-12-20T10:57:06Z,1.708,121,54.52402,18.55471
2968,FURE FLADEN,144,8,23,FO,Tanker,57.60291,11.60809,121,287,285,AMSTERDAM,18736,2016-12-14T01:47:05Z,gothenborg,2016-12-14,50,gothenborg,0,57.60172,11.61508,2016-12-14T01:45:06Z,438.422,119,57.60291,11.60809
3049,BESIKTAS ICELAND,122,8,17,MT,Tanker,57.60862,11.6094,112,259,254,ANTWERP,7700,2016-12-16T14:49:06Z,gothenborg,2016-12-16,51,gothenborg,0,57.60957,11.62024,2016-12-16T14:47:05Z,656.552,121,57.60862,11.6094
3062,ANGORA,171,7,27,MT,Cargo,55.64439,21.16407,0,0,324,KLAIPEDA,30046,2016-12-20T11:11:06Z,klaipeda,2016-12-20,51,Klaipeda,1,55.64437,21.16408,2016-12-20T10:59:06Z,2.314,720,55.64439,21.16407
3162,REINBEK,169,7,27,LR,Cargo,59.91988,30.00934,111,292,290,NLRTM VIA DENOK,15952,2016-12-13T20:31:05Z,st_petersburg,2016-12-13,50,St. Petersburg,0,59.91988,30.00934,2016-12-13T20:31:04Z,0,1,59.91988,30.00934
3338,KERLI,89,7,13,MT,Cargo,54.79873,18.93636,101,311,313,GBIMM,4211,2016-12-17T08:19:02Z,gdansk,2016-12-17,51,Gdańsk,0,54.79497,18.94357,2016-12-17T08:17:02Z,624.689,120,54.79873,18.93636
3575,HELT,79,7,11,PA,Cargo,54.63455,19.89082,62,312,313,WISMAR,2086,2016-12-18T13:09:03Z,kalingrad,2016-12-18,51,Kalingrad,0,54.63455,19.89082,2016-12-18T13:07:02Z,0,121,54.63455,19.89082
3615,FINNKRAFT,162,7,20,FI,Cargo,54.53717,18.68067,174,264,265,HANKO/GDYNIA,8702,2016-12-20T11:11:02Z,gdansk,2016-12-20,51,Gdańsk,0,54.53767,18.69917,2016-12-20T11:09:02Z,1198.765,120,54.53717,18.68067
3636,FINNHAWK,162,7,20,FI,Cargo,59.92171,30.00017,113,291,292,HELSINKI,8699,2016-12-16T19:01:04Z,st_petersburg,2016-12-16,51,St. Petersburg,0,59.92171,30.00017,2016-12-16T19:01:03Z,0,1,59.92171,30.00017
5107,AUTO BAY,199,7,32,FI,Cargo,59.92108,30.00289,115,292,292,FIHKO,6077,2016-12-14T17:43:05Z,st_petersburg,2016-12-14,50,St. Petersburg,0,59.92108,30.00289,2016-12-14T17:43:04Z,0,1,59.92108,30.00289
5381,AURA,101,3,18,FI,Tug,55.87519,20.80282,103,324,323,TURKU,4600,2016-12-19T21:55:05Z,klaipeda,2016-12-19,51,Klaipeda,0,55.8719,20.80674,2016-12-19T21:53:14Z,440.898,111,55.87519,20.80282
5396,RAMONA,74,7,10,FI,Cargo,57.60032,11.65572,72,207,208,KORSOE,1529,2016-12-17T12:41:04Z,gothenborg,2016-12-17,51,gothenborg,0,57.60473,11.65997,2016-12-17T12:39:08Z,552.979,116,57.60032,11.65572
